Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
5131732,415809,422277,2,03/01/2018,2054,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,25,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,41,,Vehicle or pillion passenger,Slight,Male,38,,,,,,,,,,,,,,,
5140196,414478,422719,2,04/01/2018,551,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,51,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5151479,411718,427905,2,05/01/2018,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,51,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51A0239,409779,425728,2,10/01/2018,744,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5.10E+227,416632,422355,4,14/01/2018,348,Motorway,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,38,Car,Driver or rider,Slight,Male,35,Car,Driver or rider,Slight,Male,36,Car,Driver or rider,Slight,Male,45,,Vehicle or pillion passenger,Slight,Male,40,,,,,
51E0855,414084,423183,2,14/01/2018,1325,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,45,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51E1541,397849,426756,2,14/01/2018,1915,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,21,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51E1807,408231,426388,2,14/01/2018,2030,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,57,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51G0202,415279,424105,1,16/01/2018,714,Unclassified,Frost / Ice,Darkness: no street lighting,Fine without high winds,M/cycle 50cc and under,Driver or rider,Slight,Male,16,,,,,,,,,,,,,,,,,,,,,,,,,
51G0210,405791,423414,1,16/01/2018,630,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,39,,,,,,,,,,,,,,,,,,,,,,,,,
51G0850,413862,422090,1,16/01/2018,1533,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,12,,,,,,,,,,,,,,,,,,,,,,,,,
51G1381,408865,426508,1,17/01/2018,1743,Unclassified,Snow,Darkness: street lights present and lit,Snowing without high winds,Car,Driver or rider,Slight,Female,20,,,,,,,,,,,,,,,,,,,,,,,,,
51H0673,410498,425167,2,16/01/2018,2045,Unclassified,Frost / Ice,Darkness: street lights present and lit,Snowing without high winds,Car,Driver or rider,Slight,Male,50,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51J0377,391140,426232,1,19/01/2018,830,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Serious,Male,9,,,,,,,,,,,,,,,,,,,,,,,,,
51J0860,409123,423334,2,19/01/2018,1330,Unclassified,Wet / Damp,Daylight: street lights present,Snowing without high winds,Car,Driver or rider,Slight,Male,67,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51K1427,408084,425037,3,20/01/2018,1857,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Car,Driver or rider,Slight,Female,30,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
51L0955,408287,425205,2,21/01/2018,955,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,63,Car,Vehicle or pillion passenger,Slight,Male,42,,,,,,,,,,,,,,,,,,,,
51O1705,412162,421488,2,24/01/2018,1640,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,19,Taxi/Private hire car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51P0335,407099,426662,2,25/01/2018,906,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51P0705,409092,425501,2,25/01/2018,1225,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,57,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
51P1126,408041,424652,1,25/01/2018,1611,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,7,,,,,,,,,,,,,,,,,,,,,,,,,
51Q1653,411842,429373,1,25/01/2018,2125,Unclassified,Snow,Darkness: street lights present but unlit,Other,Car,Pedestrian,Slight,Male,42,,,,,,,,,,,,,,,,,,,,,,,,,
51T0334,414193,422442,1,29/01/2018,845,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,12,,,,,,,,,,,,,,,,,,,,,,,,,
51T0938,414682,422498,1,29/01/2018,1400,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Pedestrian,Slight,Female,28,,,,,,,,,,,,,,,,,,,,,,,,,
51T1212,403920,424686,1,29/01/2018,1650,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,15,,,,,,,,,,,,,,,,,,,,,,,,,
51U0217,411871,427794,2,30/01/2018,640,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,63,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5211329,409815,425710,2,01/02/2018,1730,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5221131,408640,423514,2,02/02/2018,1520,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,30,Car,Driver or rider,Slight,Male,54,,Vehicle or pillion passenger,Slight,Male,89,,,,,,,,,,,,,,,
5241587,406002,423749,2,04/02/2018,1925,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,19,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5251301,414371,422816,2,05/02/2018,1557,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,49,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5280496,407215,425139,1,08/02/2018,945,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,15,,,,,,,,,,,,,,,,,,,,,,,,,
52B0379,405580,423092,1,11/02/2018,625,A,Snow,Darkness: street lighting unknown,Fine with high winds,Car,Driver or rider,Slight,Male,25,,Vehicle or pillion passenger,Slight,Male,24,,Vehicle or pillion passenger,Slight,Male,31,,,,,,,,,,,,,,,
52D1303,409259,425836,2,12/02/2018,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,23,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
52D1587,412495,428797,2,13/02/2018,1934,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,70,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5.20E+271,412875,420312,6,14/02/2018,804,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,31,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known
52G0476,415233,422594,1,16/02/2018,640,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,62,,,,,,,,,,,,,,,,,,,,,,,,,
52G1371,410938,420664,2,16/02/2018,1713,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,11,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
52I2016,413081,424311,1,18/02/2018,2345,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,33,,,,,,,,,,,,,,,,,,,,,,,,,
52J0521,416386,422221,2,19/02/2018,1050,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,20,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
52L0707,406280,423712,3,21/02/2018,1230,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,54,Car,Driver or rider,Slight,Male,51,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,
52O0968,408398,426513,2,24/02/2018,1413,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,52,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
52R1698,407934,425446,2,27/02/2018,2055,Unclassified,Snow,Darkness: street lights present and lit,Snowing without high winds,Car,Driver or rider,Slight,Male,36,Car,Vehicle or pillion passenger,Slight,Male,29,,Vehicle or pillion passenger,Slight,Male,27,,,,,,,,,,,,,,,
52S0441,405978,418592,1,28/02/2018,958,Unclassified,Snow,Daylight: street lights present,Snowing without high winds,Car,Driver or rider,Slight,Male,28,,,,,,,,,,,,,,,,,,,,,,,,,
52S1118,409523,425667,2,28/02/2018,1502,Unclassified,Snow,Daylight: street lights present,Snowing without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5320339,410267,424652,2,02/03/2018,851,Unclassified,Snow,Daylight: street lights present,Fine with high winds,Car,Driver or rider,Slight,Male,52,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5321480,398093,427047,2,02/03/2018,900,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5341073,409219,427304,1,05/03/2018,1548,Unclassified,Frost / Ice,Daylight: street lights present,Snowing without high winds,Car,Vehicle or pillion passenger,Slight,Female,14,,Vehicle or pillion passenger,Slight,Male,14,,,,,,,,,,,,,,,,,,,,
5370243,416727,422105,2,07/03/2018,620,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,47,Car,Driver or rider,Slight,Female,40,,,,,,,,,,,,,,,,,,,,
5380415,402809,423612,3,08/03/2018,750,Unclassified,Snow,Daylight: street lights present,Snowing with high winds,Car,Driver or rider,Slight,Male,39,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5390703,407965,424489,1,09/03/2018,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,
53C0288,409226,425375,1,12/03/2018,750,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Female,68,,,,,,,,,,,,,,,,,,,,,,,,,
53C0410,409188,424988,1,12/03/2018,600,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,44,,,,,,,,,,,,,,,,,,,,,,,,,
53C1292,406171,424018,1,12/03/2018,1615,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedal cycle,Pedestrian,Slight,Male,12,,,,,,,,,,,,,,,,,,,,,,,,,
53D1184,410413,420722,1,13/03/2018,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,14,,,,,,,,,,,,,,,,,,,,,,,,,
53F1015,399080,427223,1,15/03/2018,1015,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Goods vehicle 7.5 tonnes mgw and over,Pedestrian,Slight,Male,31,,,,,,,,,,,,,,,,,,,,,,,,,
53F1328,406041,423437,2,15/03/2018,1714,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,61,Taxi/Private hire car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
53F1984,416337,424185,2,15/03/2018,2305,A,Wet / Damp,Darkness: no street lighting,Fog or mist – if hazard,Car,Vehicle or pillion passenger,Slight,Female,21,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
